Data PID,Job Title,Href Link
7741921742,"Need Moving Help TODAY! Monday, 4/29!!!",https://austin.craigslist.org/lbg/d/round-rock-need-moving-help-today/7741921742.html
7741915872,* Deliver with DoorDash *,https://austin.craigslist.org/lbg/d/austin-deliver-with-doordash/7741915872.html
7741917480,"Food Preparation Worker - San Antonio, TX",https://sanantonio.craigslist.org/lbg/d/san-antonio-food-preparation-worker-san/7741917480.html
7741909932,Remote Travel Agent,https://amarillo.craigslist.org/cpg/d/amarillo-remote-travel-agent/7741909932.html
7741907517,"Warehouse Countersales - Odessa, TX",https://odessa.craigslist.org/lbg/d/odessa-warehouse-countersales-odessa-tx/7741907517.html
7741906087,NEED LAWN CARE WORKER FOR TASKS - at least $23/hr as a Lawn Care Worke,https://sanmarcos.craigslist.org/tlg/d/san-antonio-need-lawn-care-worker-for/7741906087.html
7741902956,Stocker,https://austin.craigslist.org/lbg/d/austin-stocker/7741902956.html
7741902345,"Material Handler - MarbleFalls, TX",https://austin.craigslist.org/lbg/d/austin-material-handler-marblefalls-tx/7741902345.html
7741900571,PROFESSIONAL MOVERS ONLY,https://austin.craigslist.org/lbg/d/austin-professional-movers-only/7741900571.html
7741900538,NEED HANDYMAN FOR TASKS - at least $33/hr as a Handyman,https://enid.craigslist.org/dmg/d/ada-need-handyman-for-tasks-at-least-33/7741900538.html
7741899115,"Photos Needed of House in Yukon, OK",https://oklahomacity.craigslist.org/lbg/d/yukon-photos-needed-of-house-in-yukon-ok/7741899115.html
7741897671,Warehouse/Package Handler,https://sanantonio.craigslist.org/lbg/d/san-antonio-warehouse-package-handler/7741897671.html
7741897001,Customer Service - Work From Home,https://sanantonio.craigslist.org/lbg/d/san-antonio-customer-service-work-from/7741897001.html
7741896428,Contractor needs tile installer,https://sanantonio.craigslist.org/lbg/d/san-antonio-contractor-needs-tile/7741896428.html
7741895815,Crew leader -$18hr,https://sanantonio.craigslist.org/lbg/d/san-antonio-crew-leader-18hr/7741895815.html
7741894962,Compensation Provided for Obesity Medical Research,https://oklahomacity.craigslist.org/dmg/d/oklahoma-city-compensation-provided-for/7741894962.html
7741894922,Work today - sanding and stain floors,https://waco.craigslist.org/lbg/d/hillsboro-work-today-sanding-and-stain/7741894922.html
7741894472,Local Moving Co. - hiring Drivers/Crew Leads,https://austin.craigslist.org/lbg/d/round-rock-local-moving-co-hiring/7741894472.html
7741894359,"Work today, sand and stain wood floors",https://dallas.craigslist.org/dal/lbg/d/hillsboro-work-today-sand-and-stain/7741894359.html
7741894130,Earn Cash Taking Online Surveys,https://easttexas.craigslist.org/lbg/d/winters-earn-cash-taking-online-surveys/7741894130.html
7741885215,"Make ready help: cleaning, painting, small repairs",https://waco.craigslist.org/lbg/d/waco-make-ready-help-cleaning-painting/7741885215.html
7741881550,NEED LAWN CARE WORKER FOR TASKS - at least $20/hr as a Lawn Care Worke,https://dallas.craigslist.org/ftw/dmg/d/fort-worth-need-lawn-care-worker-for/7741881550.html
7741881389,NEED LAWN CARE WORKER FOR TASKS - at least $19/hr as a Lawn Care Worke,https://dallas.craigslist.org/ftw/dmg/d/dallas-need-lawn-care-worker-for-tasks/7741881389.html
7741871541,Flexible Hours & Earn $20-$25/hr: Remote Data Entry Specialist,https://dallas.craigslist.org/mdf/dmg/d/arlington-flexible-hours-earn-hr-remote/7741871541.html
7741870523,Earn $20-$25/hr as a Remote Data Entry Specialist – No EXP Needed,https://dallas.craigslist.org/ndf/dmg/d/denton-earn-hr-as-remote-data-entry/7741870523.html
7741866999,IMMEDIATE START!!!,https://dallas.craigslist.org/ftw/lbg/d/fort-worth-immediate-start/7741866999.html
7741863503,Maximize Your Earnings: Data Entry Specialist - Earn $20-$25/hr!,https://oklahomacity.craigslist.org/dmg/d/yukon-maximize-your-earnings-data-entry/7741863503.html
7741853107,Landscape helper ( experienced ),https://austin.craigslist.org/lbg/d/austin-landscape-helper-experienced/7741853107.html
7741851541,Landscaping help 4-30,https://sanantonio.craigslist.org/lbg/d/kingsland-landscaping-help-30/7741851541.html
7741850940,Landscaping helpers 4-30,https://austin.craigslist.org/lbg/d/kingsland-landscaping-helpers-30/7741850940.html
7741849448,$22.00 - $24.50/hr EXPERIENCED OFFICE FURNITURE & RACKING INSTALLERS NEEDED!,https://austin.craigslist.org/lbg/d/austin-hr-experienced-office-furniture/7741849448.html
7741849365,$22.00 - $24.75/hr EXPERIENCED OFFICE FURNITURE & RACKING INSTALLERS NEEDED!,https://oklahomacity.craigslist.org/lbg/d/oklahoma-city-hr-experienced-office/7741849365.html
7741849100,$20.50 - 22.50/hr EXPERIENCED OFFICE FURNITURE & RACKING INSTALLERS NEEDED!,https://dallas.craigslist.org/ftw/lbg/d/fort-worth-hr-experienced-office/7741849100.html
7741848437,Lead Female Acting Role in Music Video - Casting,https://sanantonio.craigslist.org/tlg/d/marble-falls-lead-female-acting-role-in/7741848437.html
7741839337,"mount 98"" TCL tv to Rfiver TV cart on wheels",https://austin.craigslist.org/cpg/d/austin-mount-98-tcl-tv-to-rfiver-tv/7741839337.html
7741833601,"Online Parable Ministry kit $5,000.00 free 30-day trial NO CARD NEEDED",https://dallas.craigslist.org/ndf/cpg/d/dallas-online-parable-ministry-kit-free/7741833601.html
7741831088,Hiring Male restroom attendants,https://sanantonio.craigslist.org/lbg/d/san-antonio-hiring-male-restroom/7741831088.html
7741828112,Horse Researcher / Data Entry / Barrel Racing / Quarter Horse,https://dallas.craigslist.org/ftw/cpg/d/fort-worth-horse-researcher-data-entry/7741828112.html
7741824121,$100: Seeking 10 Amharic Speakers for Online Consumer Focus Group,https://dallas.craigslist.org/dal/evg/d/dallas-100-seeking-10-amharic-speakers/7741824121.html
7741816722,"Spotter position inside a warehouse, easy job pays well",https://dallas.craigslist.org/dal/cpg/d/dallas-spotter-position-inside/7741816722.html
7741908667,"Claims Representative - Akron, OH",https://akroncanton.craigslist.org/lbg/d/canton-claims-representative-akron-oh/7741908667.html
7741889579,Flat roof garage framed and sheeted,https://akroncanton.craigslist.org/lbg/d/akron-flat-roof-garage-framed-and/7741889579.html
7741759235,HIRING Immediately SUPERVISORS for Sign Promotion,https://akroncanton.craigslist.org/lbg/d/louisville-hiring-immediately/7741759235.html
7741917766,"With Uber, Cash Out earnings up to times a day w/Instant Pay",https://thumb.craigslist.org/lbg/d/pigeon-with-uber-cash-out-earnings-up/7741917766.html
7741916054,Shop and Deliver - No Experience Required,https://altoona.craigslist.org/tlg/d/sandy-ridge-shop-and-deliver-no/7741916054.html
7741917091,Drive with Uber: Cash Out earnings upto five times a day w/Instant Pay,https://annarbor.craigslist.org/lbg/d/ann-arbor-drive-with-uber-cash-out/7741917091.html
7741916741,"Remote Claims Representative - CedarLake, IN",https://southbend.craigslist.org/lbg/d/south-bend-remote-claims-representative/7741916741.html
7741915967,"Electrical Apprentice - Dayton, OH",https://dayton.craigslist.org/lbg/d/dayton-electrical-apprentice-dayton-oh/7741915967.html
7741915802,"Remote Claims Representative - Findlay, OH",https://limaohio.craigslist.org/lbg/d/findlay-remote-claims-representative/7741915802.html
7741915456,"Senior Corporate Underwriter - Buffalo, NY",https://buffalo.craigslist.org/lbg/d/buffalo-senior-corporate-underwriter/7741915456.html
